,Unnamed: 0,arg0,arg1,v
89,89, It, the cognitive and psychomotor functions, affects
91,91, a person, the difference between real and unreal experiences, telling
93,93," by a retreat from reality with delusion formation , HALLUCINATIONS , emotional disharmony , and regressive behavior", A severe emotional disorder of psychotic depth, marked
94,94, A false belief, the self or persons or objects, regarding
95,95, by false personal beliefs, A disorder, characterized
97,97, False personal beliefs, contrary, held
98,98," by prominent psychomotor disturbances that may alternate between extremes such as hyperkinesis and stupor , or automatic obedience and negativism", Catatonic schizophrenia, dominated
103,103, The person, make voluntary movements, can
110,110, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
114,114," by abnormality of motor behavior which may involve particular forms of stupor , rigidity , excitement or inappropriate posture", A type of schizophrenia, characterized
115,115," by a psychomotor disturbance that may involve motoric immobility , excessive motor activity , extreme negativism or mutism , peculiarities of voluntary movement , echolalia", A subtype of schizophrenia, characterized
129,129, Some people, seasonal affective disorder, get
132,132," by ongoing feelings of sadness , despair , loss of energy , and difficulty dealing with normal daily life", A mental condition, marked
135,135, Depression, 15 - 25 % of cancer patients, affects
136,136, by the patient, Subjective evidence of disease, perceived
137,137, by the patient, Subjective evidence of disease, perceived
139,139, by the patient, Subjective evidence of disease, perceived
141,141, the individual, an episode of schizophrenia, suffered
145,145, the individual, an episode of schizophrenia, suffered
148,148, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
151,151," by eccentric behaviour and anomalies of thinking and affect which resemble those seen in schizophrenia , though no definite and characteristic schizophrenic anomalies occur at", A disorder, characterized
153,153, A false belief, the self or persons or objects, regarding
154,154, by false personal beliefs, A disorder, characterized
156,156, False personal beliefs, contrary, held
158,158, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
162,162, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
165,165, by the patient, Subjective evidence of disease, perceived
166,166," by an infectious process involving the upper respiratory tract ( nose , paranasal sinuses , pharynx , larynx , or trachea )", A disorder, characterized
167,167, An infectious process," the upper respiratory tract ( nose , paranasal sinuses , pharynx , larynx , or trachea )", affecting
171,171, they, sense, make
172,172, The disorder, it hard for them to keep a job or take care of themselves, makes
175,175, Psychotic symptoms, a person 's thinking, distort
177,177," "" Negative "" symptoms", it difficult to show emotions and to function normally, make
179,179, Cognitive symptoms, the thought process, affect
181,181, what, schizophrenia, causes
188,188, by abnormalities in the perception or expression of reality, National Institute of Mental HealthA major psychotic disorder, characterized
189,189, It, the cognitive and psychomotor functions, affects
191,191, a person, the difference between real and unreal experiences, telling
193,193," by a retreat from reality with delusion formation , HALLUCINATIONS , emotional disharmony , and regressive behavior", A severe emotional disorder of psychotic depth, marked
195,195, people in the United States, 1 billion colds, suffer
198,198, Symptoms, 2 or 3 days, begin
205,205, by an infectious process involving the nasal mucosal, A disorder, characterized
206,206, An inflammatory process, the nasal mucosa, affecting
207,207," by chills , headaches , mucopurulent nasal discharge , coughing , and facial pain", It, characterized
208,208, An acute inflammatory process, the nasopharynx, affects
209,209, by viruses, It, caused
214,214, by a false sensory perception, A disorder, characterized
215,215, by the individual, an appropriate stimulus, regarded
218,218, The behaviors, serious problems, cause
219,219, People with personality disorders, with everyday stresses and problems, dealing
221,221, They, mild or severe, can
223,223, they, others, blame
226,226, by behavior that deviates markedly from the expectations of the individual 's culture, A diverse category of psychiatric disorders, characterized
227,227, The behavioral pattern, with relationships, interferes
228,228, A false belief, the self or persons or objects, regarding
229,229, by false personal beliefs, A disorder, characterized
231,231, False personal beliefs, contrary, held
237,237, by the presence of one or more nonbizarre delusions that persist for at least 1 month, A disorder, characterized
239,239, A false belief, the self or persons or objects, regarding
240,240, by false personal beliefs, A disorder, characterized
242,242, False personal beliefs, contrary, held
244,244, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
247,247, by the development, A disorder, characterized
249,249," the presence of occasional or transitory auditory hallucinations , particularly in elderly patients ,", this diagnosis, rule
251,251, by the presence of one or more nonbizarre delusions that persist for at least 1 month, A disorder, characterized
254,254, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
257,257, by the patient, Subjective evidence of disease, perceived
258,258, It," thoughts , memory , speech , and movement", controls
259,259, It, the function of many organs, regulates
265,265, we," what causes some brain diseases , such as Alzheimer 's disease", know
268,268, Pathologic conditions," the BRAIN , which is composed of the intracranial components of the CENTRAL NERVOUS SYSTEM", affecting
270,270, A non - neoplastic or neoplastic disorder, the brain, affects
271,271, A false belief, the self or persons or objects, regarding
272,272, by false personal beliefs, A disorder, characterized
274,274, False personal beliefs, contrary, held
275,275, by persistent hallucinatory voices or by schizophrenic symptoms that do not justify a diagnosis of schizophrenia, the delusion or delusions, accompanied
277,277, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
282,282, they, sense, make
283,283, The disorder, it hard for them to keep a job or take care of themselves, makes
286,286, Psychotic symptoms, a person 's thinking, distort
288,288," "" Negative "" symptoms", it difficult to show emotions and to function normally, make
290,290, Cognitive symptoms, the thought process, affect
292,292, what, schizophrenia, causes
299,299, by abnormalities in the perception or expression of reality, National Institute of Mental HealthA major psychotic disorder, characterized
300,300, It, the cognitive and psychomotor functions, affects
302,302, a person, the difference between real and unreal experiences, telling
304,304," by a retreat from reality with delusion formation , HALLUCINATIONS , emotional disharmony , and regressive behavior", A severe emotional disorder of psychotic depth, marked
308,308, by a false sensory perception, A disorder, characterized
309,309, by the individual, an appropriate stimulus, regarded
311,311, by the patient, Subjective evidence of disease, perceived
312,312, A false belief, the self or persons or objects, regarding
313,313, by false personal beliefs, A disorder, characterized
315,315, False personal beliefs, contrary, held
316,316," by the acute onset of psychotic symptoms such as delusions , hallucinations , and perceptual disturbances", A heterogeneous group of disorders, characterized
322,322, conditions," your thinking , feeling , mood , and behavior", affect
329,329, You," answer questions about your thinking , feelings , and behaviors", will
330,330, Treatment, on which mental disorder you have and how serious it is, depends
331,331, You and your provider, work on a treatment plan just for you, will
334,334, Some people, social support and education, need
340,340, by behavioral and/or psychological abnormalities, A disorder, characterized
345,345, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
351,351, by a false sensory perception, A disorder, characterized
352,352, by the individual, an appropriate stimulus, regarded
354,354, A false belief, the self or persons or objects, regarding
355,355, by false personal beliefs, A disorder, characterized
357,357, False personal beliefs, contrary, held
358,358, a condition, rapidly changing mental states, features
359,359, It, confusion and changes in behavior, causes
369,369, People with delirium, a full recovery, make
372,372," by fluctuations in orientation , concentration and ability to think clearly", A mental state, characterized
373,373," by the acute and sudden development of confusion , illusions , movement changes , inattentiveness , agitation , and hallucinations", A usually reversible condition, characterized
376,376, by CONFUSION, A disorder, characterized
379,379, the psychotic features, a diagnosis of schizophrenia, justify
383,383," dread accompanied by restlessness , tension , tachycardia , and dyspnea unattached", A disorder, characterized
384,384, by anxious feelings or fear often accompanied by physical symptoms associated with anxiety, psychiatric disorders, characterized
385,385, conditions," your thinking , feeling , mood , and behavior", affect
392,392, You," answer questions about your thinking , feelings , and behaviors", will
393,393, Treatment, on which mental disorder you have and how serious it is, depends
394,394, You and your provider, work on a treatment plan just for you, will
397,397, Some people, social support and education, need
403,403, by behavioral and/or psychological abnormalities, A disorder, characterized
407,407, Cancer, (, recurred
411,411, they, sense, make
412,412, The disorder, it hard for them to keep a job or take care of themselves, makes
415,415, Psychotic symptoms, a person 's thinking, distort
417,417," "" Negative "" symptoms", it difficult to show emotions and to function normally, make
419,419, Cognitive symptoms, the thought process, affect
421,421, what, schizophrenia, causes
428,428, by abnormalities in the perception or expression of reality, National Institute of Mental HealthA major psychotic disorder, characterized
429,429, It, the cognitive and psychomotor functions, affects
431,431, a person, the difference between real and unreal experiences, telling
433,433," by a retreat from reality with delusion formation , HALLUCINATIONS , emotional disharmony , and regressive behavior", A severe emotional disorder of psychotic depth, marked
435,435, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
441,441, by a false sensory perception, A disorder, characterized
442,442, by the individual, an appropriate stimulus, regarded
444,444, by the patient, Subjective evidence of disease, perceived
454,454, A person with anxiety, sweat, may
456,456, by excessive worried thoughts that may be accompanied by restlessness, An emotional state, characterized
458,458, A false belief, the self or persons or objects, regarding
459,459, by false personal beliefs, A disorder, characterized
461,461, False personal beliefs, contrary, held
466,466, they, sense, make
467,467, The disorder, it hard for them to keep a job or take care of themselves, makes
470,470, Psychotic symptoms, a person 's thinking, distort
472,472," "" Negative "" symptoms", it difficult to show emotions and to function normally, make
474,474, Cognitive symptoms, the thought process, affect
476,476, what, schizophrenia, causes
483,483, by abnormalities in the perception or expression of reality, National Institute of Mental HealthA major psychotic disorder, characterized
484,484, It, the cognitive and psychomotor functions, affects
486,486, a person, the difference between real and unreal experiences, telling
488,488," by a retreat from reality with delusion formation , HALLUCINATIONS , emotional disharmony , and regressive behavior", A severe emotional disorder of psychotic depth, marked
489,489, by the patient, Subjective evidence of disease, perceived
490,490, the psychotic symptoms, a diagnosis of schizophrenia, justify
492,492, by the patient, Subjective evidence of disease, perceived
495,495, they, sense, make
496,496, The disorder, it hard for them to keep a job or take care of themselves, makes
499,499, Psychotic symptoms, a person 's thinking, distort
501,501," "" Negative "" symptoms", it difficult to show emotions and to function normally, make
503,503, Cognitive symptoms, the thought process, affect
505,505, what, schizophrenia, causes
512,512, by abnormalities in the perception or expression of reality, National Institute of Mental HealthA major psychotic disorder, characterized
513,513, It, the cognitive and psychomotor functions, affects
515,515, a person, the difference between real and unreal experiences, telling
517,517," by a retreat from reality with delusion formation , HALLUCINATIONS , emotional disharmony , and regressive behavior", A severe emotional disorder of psychotic depth, marked
518,518, mental disorders, abnormal thinking and perceptions, cause
519,519, People with psychoses, touch, lose
524,524, Treatment, on the cause of the psychosis, depends
527,527, a person, the ability to recognize reality or relate to others, loses
528,528, The person, with the demands of everyday life, cope
530,530," by personality change ,", A mental disorder, characterized
531,531, by impaired reality which may include perceptual disturbances, A mental state, characterized
532,532," by personality change , impaired functioning , and loss of touch with", A disorder, characterized
534,534, Acute psychotic disorders in, a diagnosis of schizophrenia, justify
538,538, they, sense, make
539,539, The disorder, it hard for them to keep a job or take care of themselves, makes
542,542, Psychotic symptoms, a person 's thinking, distort
544,544," "" Negative "" symptoms", it difficult to show emotions and to function normally, make
546,546, Cognitive symptoms, the thought process, affect
548,548, what, schizophrenia, causes
555,555, by abnormalities in the perception or expression of reality, National Institute of Mental HealthA major psychotic disorder, characterized
556,556, It, the cognitive and psychomotor functions, affects
558,558, a person, the difference between real and unreal experiences, telling
560,560," by a retreat from reality with delusion formation , HALLUCINATIONS , emotional disharmony , and regressive behavior", A severe emotional disorder of psychotic depth, marked
564,564, by a false sensory perception, A disorder, characterized
565,565, by the individual, an appropriate stimulus, regarded
567,567, A false belief, the self or persons or objects, regarding
568,568, by false personal beliefs, A disorder, characterized
570,570, False personal beliefs, contrary, held
572,572, by two or more people with close emotional links, A delusional disorder, shared
573,573, Only one of the people, from a genuine psychotic disorder, suffers
574,574," A condition in which closely related persons , usually in the same family", the same delusions, share
576,576, by the presence of one or more nonbizarre delusions that persist for at least 1 month, A disorder, characterized
578,578, A false belief, the self or persons or objects, regarding
579,579, by false personal beliefs, A disorder, characterized
581,581, False personal beliefs, contrary, held
582,582, mental disorders, abnormal thinking and perceptions, cause
583,583, People with psychoses, touch, lose
588,588, Treatment, on the cause of the psychosis, depends
591,591, a person, the ability to recognize reality or relate to others, loses
592,592, The person, with the demands of everyday life, cope
594,594," by personality change ,", A mental disorder, characterized
595,595, by impaired reality which may include perceptual disturbances, A mental state, characterized
596,596," by personality change , impaired functioning , and loss of touch with", A disorder, characterized
598,598, Episodic disorders, a diagnosis of either schizophrenia or depressive or manic episodes, justify
600,600, Mood - incongruent psychotic symptoms in affective disorders, a diagnosis of schizoaffective disorder, justify
603,603, they, sense, make
604,604, The disorder, it hard for them to keep a job or take care of themselves, makes
607,607, Psychotic symptoms, a person 's thinking, distort
609,609," "" Negative "" symptoms", it difficult to show emotions and to function normally, make
611,611, Cognitive symptoms, the thought process, affect
613,613, what, schizophrenia, causes
620,620, by abnormalities in the perception or expression of reality, National Institute of Mental HealthA major psychotic disorder, characterized
621,621, It, the cognitive and psychomotor functions, affects
623,623, a person, the difference between real and unreal experiences, telling
625,625," by a retreat from reality with delusion formation , HALLUCINATIONS , emotional disharmony , and regressive behavior", A severe emotional disorder of psychotic depth, marked
627,627, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
630,630, the individual, from both symptoms that qualify as schizophrenia and symptoms that qualify as a mood disorder ( e, suffers
631,631, the individual, from delusions or hallucinations, suffers
632,632, by the patient, Subjective evidence of disease, perceived
633,633, Most people, sad or irritable, feel
635,635, It, a person 's everyday emotional state, affects
641,641, the individual, from both symptoms that qualify as schizophrenia and symptoms that qualify as a mood disorder ( e, suffers
642,642, the individual, from delusions or hallucinations, suffers
643,643, the episode of illness, a diagnosis of either schizophrenia or a manic episode, justify
645,645," by mental and physical hyperactivity , disorganisation of behaviour and elevation of", Excitement of psychotic proportions, manifested
646,646," by excitement of psychotic proportions manifested by mental and physical hyperactivity , disorganization of behavior and elevation of mood", A disorder, characterized
647,647, the individual, from both symptoms that qualify as schizophrenia and symptoms that qualify as a mood disorder ( e, suffers
648,648, the individual, from delusions or hallucinations, suffers
650,650, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
655,655, they, sense, make
656,656, The disorder, it hard for them to keep a job or take care of themselves, makes
659,659, Psychotic symptoms, a person 's thinking, distort
661,661," "" Negative "" symptoms", it difficult to show emotions and to function normally, make
663,663, Cognitive symptoms, the thought process, affect
665,665, what, schizophrenia, causes
672,672, by abnormalities in the perception or expression of reality, National Institute of Mental HealthA major psychotic disorder, characterized
673,673, It, the cognitive and psychomotor functions, affects
675,675, a person, the difference between real and unreal experiences, telling
677,677," by a retreat from reality with delusion formation , HALLUCINATIONS , emotional disharmony , and regressive behavior", A severe emotional disorder of psychotic depth, marked
678,678, the episode of illness, a diagnosis of either schizophrenia or a depressive episode, justify
682,682, they, sense, make
683,683, The disorder, it hard for them to keep a job or take care of themselves, makes
686,686, Psychotic symptoms, a person 's thinking, distort
688,688," "" Negative "" symptoms", it difficult to show emotions and to function normally, make
690,690, Cognitive symptoms, the thought process, affect
692,692, what, schizophrenia, causes
699,699, by abnormalities in the perception or expression of reality, National Institute of Mental HealthA major psychotic disorder, characterized
700,700, It, the cognitive and psychomotor functions, affects
702,702, a person, the difference between real and unreal experiences, telling
704,704," by a retreat from reality with delusion formation , HALLUCINATIONS , emotional disharmony , and regressive behavior", A severe emotional disorder of psychotic depth, marked
706,706, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
709,709, the individual, from both symptoms that qualify as schizophrenia and symptoms that qualify as a mood disorder ( e, suffers
710,710, the individual, from delusions or hallucinations, suffers
711,711, Delusional or hallucinatory disorders," a diagnosis of schizophrenia , persistent delusional disorders , acute and transient psychotic disorders , psychotic types of manic episode , or severe depressive", justify
712,712, conditions," your thinking , feeling , mood , and behavior", affect
719,719, You," answer questions about your thinking , feelings , and behaviors", will
720,720, Treatment, on which mental disorder you have and how serious it is, depends
721,721, You and your provider, work on a treatment plan just for you, will
724,724, Some people, social support and education, need
730,730, by behavioral and/or psychological abnormalities, A disorder, characterized
735,735, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
740,740, they, sense, make
741,741, The disorder, it hard for them to keep a job or take care of themselves, makes
744,744, Psychotic symptoms, a person 's thinking, distort
746,746," "" Negative "" symptoms", it difficult to show emotions and to function normally, make
748,748, Cognitive symptoms, the thought process, affect
750,750, what, schizophrenia, causes
757,757, by abnormalities in the perception or expression of reality, National Institute of Mental HealthA major psychotic disorder, characterized
758,758, It, the cognitive and psychomotor functions, affects
760,760, a person, the difference between real and unreal experiences, telling
762,762," by a retreat from reality with delusion formation , HALLUCINATIONS , emotional disharmony , and regressive behavior", A severe emotional disorder of psychotic depth, marked
763,763," by mental and physical hyperactivity , disorganisation of behaviour and elevation of", Excitement of psychotic proportions, manifested
764,764," by excitement of psychotic proportions manifested by mental and physical hyperactivity , disorganization of behavior and elevation of mood", A disorder, characterized
768,768, by a false sensory perception, A disorder, characterized
769,769, by the individual, an appropriate stimulus, regarded
771,771, A false belief, the self or persons or objects, regarding
772,772, by false personal beliefs, A disorder, characterized
774,774, False personal beliefs, contrary, held
1,1, individuals, one or more previous affective episodes ( depressive, had
10,10, you, you may have it, think
13,13, effective treatments, symptoms, control
15,15, the brain," unusual shifts in mood , energy , activity levels and the ability to carry out day - to - day tasks", causes
17,17, by severe mood swings ( manic or major depressive episodes ) and a tendency to remission and, A major affective disorder, marked
18,18," by mental and physical hyperactivity , disorganisation of behaviour and elevation of", Excitement of psychotic proportions, manifested
19,19," by excitement of psychotic proportions manifested by mental and physical hyperactivity , disorganization of behavior and elevation of mood", A disorder, characterized
20,20," by a persistent mild elevation of mood , increased energy and activity", A disorder, characterized
23,23, by hallucinations or delusions, The disturbances of mood and behaviour, accompanied
24,24, A false belief, the self or persons or objects, regarding
25,25, by false personal beliefs, A disorder, characterized
27,27, False personal beliefs, contrary, held
31,31, by a false sensory perception, A disorder, characterized
32,32, by the individual, an appropriate stimulus, regarded
35,35, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
39,39," in overactivity , pressure of speech ,", Elation, accompanied
43,43," by mental and physical hyperactivity , disorganisation of behaviour and elevation of", Excitement of psychotic proportions, manifested
44,44," by excitement of psychotic proportions manifested by mental and physical hyperactivity , disorganization of behavior and elevation of mood", A disorder, characterized
48,48, ( usually of voices, to the patient, speaking
49,49, A false belief, the self or persons or objects, regarding
50,50, by false personal beliefs, A disorder, characterized
52,52, False personal beliefs, contrary, held
56,56, by a false sensory perception, A disorder, characterized
57,57, by the individual, an appropriate stimulus, regarded
59,59," by mental and physical hyperactivity , disorganisation of behaviour and elevation of", Excitement of psychotic proportions, manifested
60,60," by excitement of psychotic proportions manifested by mental and physical hyperactivity , disorganization of behavior and elevation of mood", A disorder, characterized
61,61, by two or more episodes in which the patient 's mood and activity levels are significantly disturbed, A disorder, characterized
63,63, Everyone, tired, feels
65,65, most people, refreshed and ready to face a new day, feel
72,72, by extreme tiredness and inability to function due lack of, AgingA condition, marked
75,75, by a state of generalized weakness, A disorder, characterized
77,77, by feelings of sadness, An emotional state, characterized
86,86, you, you may have it, think
89,89, effective treatments, symptoms, control
91,91, the brain," unusual shifts in mood , energy , activity levels and the ability to carry out day - to - day tasks", causes
93,93, by severe mood swings ( manic or major depressive episodes ) and a tendency to remission and, A major affective disorder, marked
94,94, by either a dysphoric mood or loss of interest or pleasure in usual activities, An affective disorder, manifested
96,96, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
105,105, Some people, seasonal affective disorder, get
108,108," by ongoing feelings of sadness , despair , loss of energy , and difficulty dealing with normal daily life", A mental condition, marked
111,111, Depression, 15 - 25 % of cancer patients, affects
112,112," by mental and physical hyperactivity , disorganisation of behaviour and elevation of", Excitement of psychotic proportions, manifested
113,113," by excitement of psychotic proportions manifested by mental and physical hyperactivity , disorganization of behavior and elevation of mood", A disorder, characterized
114,114, The patient," at least one other affective episode ( hypomanic , manic , depressive , or mixed )", had
123,123, you, you may have it, think
126,126, effective treatments, symptoms, control
128,128, the brain," unusual shifts in mood , energy , activity levels and the ability to carry out day - to - day tasks", causes
130,130, by severe mood swings ( manic or major depressive episodes ) and a tendency to remission and, A major affective disorder, marked
140,140, you, you may have it, think
143,143, effective treatments, symptoms, control
145,145, the brain," unusual shifts in mood , energy , activity levels and the ability to carry out day - to - day tasks", causes
147,147, by severe mood swings ( manic or major depressive episodes ) and a tendency to remission and, A major affective disorder, marked
148,148, conditions," your thinking , feeling , mood , and behavior", affect
155,155, You," answer questions about your thinking , feelings , and behaviors", will
156,156, Treatment, on which mental disorder you have and how serious it is, depends
157,157, You and your provider, work on a treatment plan just for you, will
160,160, Some people, social support and education, need
166,166, by behavioral and/or psychological abnormalities, A disorder, characterized
170,170," by mental and physical hyperactivity , disorganisation of behaviour and elevation of", Excitement of psychotic proportions, manifested
171,171," by excitement of psychotic proportions manifested by mental and physical hyperactivity , disorganization of behavior and elevation of mood", A disorder, characterized
181,181, you, you may have it, think
184,184, effective treatments, symptoms, control
186,186, the brain," unusual shifts in mood , energy , activity levels and the ability to carry out day - to - day tasks", causes
188,188, by severe mood swings ( manic or major depressive episodes ) and a tendency to remission and, A major affective disorder, marked
189,189," by mental and physical hyperactivity , disorganisation of behaviour and elevation of", Excitement of psychotic proportions, manifested
190,190," by excitement of psychotic proportions manifested by mental and physical hyperactivity , disorganization of behavior and elevation of mood", A disorder, characterized
191,191, conditions," your thinking , feeling , mood , and behavior", affect
198,198, You," answer questions about your thinking , feelings , and behaviors", will
199,199, Treatment, on which mental disorder you have and how serious it is, depends
200,200, You and your provider, work on a treatment plan just for you, will
203,203, Some people, social support and education, need
209,209, by behavioral and/or psychological abnormalities, A disorder, characterized
214,214," by mental and physical hyperactivity , disorganisation of behaviour and elevation of", Excitement of psychotic proportions, manifested
215,215," by excitement of psychotic proportions manifested by mental and physical hyperactivity , disorganization of behavior and elevation of mood", A disorder, characterized
216,216, by feelings of sadness, An emotional state, characterized
225,225, you, you may have it, think
228,228, effective treatments, symptoms, control
230,230, the brain," unusual shifts in mood , energy , activity levels and the ability to carry out day - to - day tasks", causes
232,232, by severe mood swings ( manic or major depressive episodes ) and a tendency to remission and, A major affective disorder, marked
242,242, you, you may have it, think
245,245, effective treatments, symptoms, control
247,247, the brain," unusual shifts in mood , energy , activity levels and the ability to carry out day - to - day tasks", causes
249,249, by severe mood swings ( manic or major depressive episodes ) and a tendency to remission and, A major affective disorder, marked
250,250, by feelings of sadness, An emotional state, characterized
251,251," by mental and physical hyperactivity , disorganisation of behaviour and elevation of", Excitement of psychotic proportions, manifested
252,252," by excitement of psychotic proportions manifested by mental and physical hyperactivity , disorganization of behavior and elevation of mood", A disorder, characterized
254,254, by feelings of sadness, An emotional state, characterized
263,263, you, you may have it, think
266,266, effective treatments, symptoms, control
268,268, the brain," unusual shifts in mood , energy , activity levels and the ability to carry out day - to - day tasks", causes
270,270, by severe mood swings ( manic or major depressive episodes ) and a tendency to remission and, A major affective disorder, marked
271,271," by mental and physical hyperactivity , disorganisation of behaviour and elevation of", Excitement of psychotic proportions, manifested
272,272," by excitement of psychotic proportions manifested by mental and physical hyperactivity , disorganization of behavior and elevation of mood", A disorder, characterized
273,273, The patient," at least one authenticated hypomanic , manic , depressive , or mixed affective episode in the past", had
282,282, you, you may have it, think
285,285, effective treatments, symptoms, control
287,287, the brain," unusual shifts in mood , energy , activity levels and the ability to carry out day - to - day tasks", causes
289,289, by severe mood swings ( manic or major depressive episodes ) and a tendency to remission and, A major affective disorder, marked
290,290," by mental and physical hyperactivity , disorganisation of behaviour and elevation of", Excitement of psychotic proportions, manifested
291,291," by excitement of psychotic proportions manifested by mental and physical hyperactivity , disorganization of behavior and elevation of mood", A disorder, characterized
292,292, The patient," at least one authenticated hypomanic , manic , or mixed affective episode in the past", had
302,302, you, you may have it, think
305,305, effective treatments, symptoms, control
307,307, the brain," unusual shifts in mood , energy , activity levels and the ability to carry out day - to - day tasks", causes
309,309, by severe mood swings ( manic or major depressive episodes ) and a tendency to remission and, A major affective disorder, marked
310,310," by mental and physical hyperactivity , disorganisation of behaviour and elevation of", Excitement of psychotic proportions, manifested
311,311," by excitement of psychotic proportions manifested by mental and physical hyperactivity , disorganization of behavior and elevation of mood", A disorder, characterized
312,312, the patient," from lowering of mood , reduction of energy , and decrease in activity", suffers
318,318, by a state of restlessness, A disorder, characterized
325,325, Everyone, tired, feels
327,327, most people, refreshed and ready to face a new day, feel
334,334, by extreme tiredness and inability to function due lack of, AgingA condition, marked
337,337, by a state of generalized weakness, A disorder, characterized
339,339, by feelings of sadness, An emotional state, characterized
340,340, by either a dysphoric mood or loss of interest or pleasure in usual activities, An affective disorder, manifested
342,342, by a loss of appetite, A disorder, characterized
343,343, by an aversion to food and the inability to eat, The lack or loss of APPETITE, accompanied
351,351, Some people, seasonal affective disorder, get
354,354," by ongoing feelings of sadness , despair , loss of energy , and difficulty dealing with normal daily life", A mental condition, marked
357,357, Depression, 15 - 25 % of cancer patients, affects
359,359, by the patient, Subjective evidence of disease, perceived
361,361, by the patient, Subjective evidence of disease, perceived
363,363, by either a dysphoric mood or loss of interest or pleasure in usual activities, An affective disorder, manifested
370,370, Some people, seasonal affective disorder, get
373,373," by ongoing feelings of sadness , despair , loss of energy , and difficulty dealing with normal daily life", A mental condition, marked
376,376, Depression, 15 - 25 % of cancer patients, affects
377,377, by the patient, Subjective evidence of disease, perceived
378,378, by feelings of sadness, An emotional state, characterized
382,382, A false belief, the self or persons or objects, regarding
383,383, by false personal beliefs, A disorder, characterized
385,385, False personal beliefs, contrary, held
388,388, What, dehydration, causes
389,389, Some people, their sense of thirst as they age, lose
390,390, Infants and young children, People, vomiting
395,395, you, electrolytes, lost
402,402, by excessive loss of water from the body, A disorder, characterized
403,403," by severe diarrhea , vomiting or diaphoresis", It, caused
404,404, by the loss of too much water from the body, A condition, caused
407,407," by severe diarrhea , vomiting or diaphoresis", It, caused
408,408, by feelings of sadness, An emotional state, characterized
412,412, by a false sensory perception, A disorder, characterized
413,413, by the individual, an appropriate stimulus, regarded
415,415, by either a dysphoric mood or loss of interest or pleasure in usual activities, An affective disorder, manifested
417,417, The person, make voluntary movements, can
426,426, Some people, seasonal affective disorder, get
429,429," by ongoing feelings of sadness , despair , loss of energy , and difficulty dealing with normal daily life", A mental condition, marked
432,432, Depression, 15 - 25 % of cancer patients, affects
433,433, by repeated episodes of depression as described for depressive episode, A disorder, characterized
438,438," by mental and physical hyperactivity , disorganisation of behaviour and elevation of", Excitement of psychotic proportions, manifested
439,439," by excitement of psychotic proportions manifested by mental and physical hyperactivity , disorganization of behavior and elevation of mood", A disorder, characterized
441,441, by feelings of sadness, An emotional state, characterized
450,450, you, you may have it, think
453,453, effective treatments, symptoms, control
455,455, the brain," unusual shifts in mood , energy , activity levels and the ability to carry out day - to - day tasks", causes
457,457, by severe mood swings ( manic or major depressive episodes ) and a tendency to remission and, A major affective disorder, marked
458,458, by either a dysphoric mood or loss of interest or pleasure in usual activities, An affective disorder, manifested
460,460, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
469,469, Some people, seasonal affective disorder, get
472,472," by ongoing feelings of sadness , despair , loss of energy , and difficulty dealing with normal daily life", A mental condition, marked
475,475, Depression, 15 - 25 % of cancer patients, affects
476,476, by the inability to find pleasure, A subtype of depression, characterized
477,477," by mental and physical hyperactivity , disorganisation of behaviour and elevation of", Excitement of psychotic proportions, manifested
478,478," by excitement of psychotic proportions manifested by mental and physical hyperactivity , disorganization of behavior and elevation of mood", A disorder, characterized
479,479, by repeated episodes of depression, A disorder, characterized
480,480, by feelings of sadness, An emotional state, characterized
481,481, by either a dysphoric mood or loss of interest or pleasure in usual activities, An affective disorder, manifested
483,483, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
492,492, Some people, seasonal affective disorder, get
495,495," by ongoing feelings of sadness , despair , loss of energy , and difficulty dealing with normal daily life", A mental condition, marked
498,498, Depression, 15 - 25 % of cancer patients, affects
499,499," by mental and physical hyperactivity , disorganisation of behaviour and elevation of", Excitement of psychotic proportions, manifested
